itrd,dvfs,peak_qps,pkg_joules,avg_read,std_read,90th_read,95th_read,99th_read
1,0xc00,199830.8,9041.894336,76.4,15.4,93.8,103.1,126.1
1,0x1100,199888.3,9078.92036,78.9,22.1,98.0,108.3,136.4
1,0x1500,199969.7,8983.498792,78.5,17.9,96.5,106.1,131.6
1,0x1900,199905.8,9171.602784,76.7,16.3,94.4,104.2,128.8
1,0x1c00,199995.2,9122.333999,77.8,16.2,95.8,105.4,131.2
2,0xc00,199923.8,9473.629827,70.3,16.3,86.5,96.2,121.7
2,0x1100,199851.1,9527.587011,70.9,16.4,86.9,96.4,120.3
2,0x1500,199991.1,9404.498588,71.1,18.9,87.8,98.3,123.6
2,0x1900,199894.8,9418.358886,71.2,19.6,87.7,98.2,125.5
2,0x1c00,200102.2,9416.692853999999,70.6,16.2,87.0,96.0,121.0
20,0xc00,199881.7,9042.93463,78.6,19.5,96.0,105.1,128.2
20,0x1100,199918.2,8910.075898,78.5,15.7,96.2,105.5,127.9
20,0x1500,199954.5,9040.598512999999,78.5,15.9,96.0,104.8,126.5
20,0x1900,200038.2,8887.946867,78.4,19.4,96.2,105.4,128.5
20,0x1c00,199856.2,8895.294317,78.9,17.9,96.8,105.9,128.2
50,0xc00,199783.2,8672.197126,95.0,22.5,121.1,128.6,151.0
50,0x1100,199970.5,8659.767156,94.4,22.1,119.7,127.9,150.7
50,0x1500,199908.2,8882.298755,95.0,22.8,120.9,128.4,151.1
50,0x1900,199965.9,8759.05283,95.2,23.5,120.6,128.1,149.5
50,0x1c00,199808.9,8748.177872,94.8,21.2,120.2,127.7,148.7
100,0xc00,199991.8,8129.124313,127.9,34.4,170.3,181.7,202.5
100,0x1100,199903.0,8120.075207,128.1,34.2,170.5,182.1,202.9
100,0x1500,200070.2,8187.964669,127.1,33.7,169.7,180.9,201.9
100,0x1900,200026.7,8198.28959,126.7,35.7,169.2,180.2,201.1
100,0x1c00,199960.4,8162.501012,127.8,36.3,170.2,181.7,202.7
150,0xc00,199836.5,7920.361695,160.8,47.2,221.9,234.6,260.9
150,0x1100,199911.9,7833.162683,160.1,47.4,221.7,234.0,260.2
150,0x1500,199937.5,7831.388559,159.3,48.7,221.0,233.4,257.8
150,0x1900,199811.7,7835.505571,159.5,47.3,221.3,233.7,256.0
150,0x1c00,199857.2,7806.798422,160.7,47.8,222.3,235.2,259.4
200,0xc00,199940.1,7656.234074,192.8,62.7,272.3,289.6,318.9
200,0x1100,200082.2,7558.211649,192.7,64.7,271.8,288.8,318.0
200,0x1500,199906.7,7541.511923,193.0,61.9,272.3,289.7,319.1
200,0x1900,199854.1,7569.251063,190.9,61.9,271.1,288.1,316.7
200,0x1c00,200015.4,7613.964429,192.0,61.6,271.7,288.9,317.9
250,0xc00,199805.0,7327.270895,221.6,74.8,320.6,335.5,366.7
250,0x1100,200021.0,7342.233646,221.9,75.2,321.8,338.2,367.2
250,0x1500,199712.9,7361.8777199999995,222.9,75.2,322.3,339.3,368.2
250,0x1900,199759.1,7364.783577,223.8,74.9,322.8,340.0,368.0
250,0x1c00,200023.5,7390.525272,221.6,75.5,320.7,336.6,367.0
300,0xc00,199761.4,7159.8073509999995,251.2,89.2,367.5,391.2,429.6
300,0x1100,199850.3,7225.488918,252.1,89.4,368.5,392.2,430.5
300,0x1500,199891.5,7190.097389,253.5,90.2,370.1,392.8,431.1
300,0x1900,199896.6,7211.6901689999995,251.3,91.5,367.7,391.6,430.4
300,0x1c00,200135.7,7213.451422,249.3,89.0,366.5,390.2,428.6
350,0xc00,199978.2,7056.022866,280.9,103.0,418.5,441.1,484.6
350,0x1100,199984.3,7082.832854,279.1,103.5,416.9,439.0,481.6
350,0x1500,199940.1,7013.188666,279.9,104.5,418.2,440.2,482.8
350,0x1900,199804.5,7072.696179,280.3,104.1,417.7,440.0,483.2
350,0x1c00,199901.5,7043.0297439999995,282.8,102.8,419.7,441.9,484.2
400,0xc00,199836.1,6931.995043,308.6,118.8,466.0,489.2,537.4
400,0x1100,199685.5,6858.742705,309.4,117.0,465.6,488.4,535.6
400,0x1500,199875.1,6885.474918,310.1,119.1,467.3,489.9,537.0
400,0x1900,199880.8,6871.654514,308.8,118.1,466.9,490.4,536.8
400,0x1c00,199835.8,6914.149127,310.4,118.5,465.9,489.3,536.1
