,rx_bytes_sum,duration,num_interruptions
0,66,8914740,1
1,1472,79647040,13
2,4126,3847003040,27
3,74576,2847304,16
4,115428,2662668,14
5,136236,2662284,14
6,141818,2662420,14
7,135479,2660472,14
8,151917,2672612,15
9,130158,2656736,12
10,123731,2665812,15
11,134179,2655896,13
12,143981,2662964,14
13,126791,2662104,14
14,145093,2660272,14
15,123396,2664768,14
16,122320,2662068,14
17,159949,2662672,14
18,144830,2662176,14
19,125657,2662484,14
20,139825,2661928,14
21,145897,2663412,14
22,131209,2661624,14
23,124194,2662828,14
24,139418,2660124,14
25,145048,2664760,14
26,136853,2661812,14
27,120880,2662892,14
28,140018,2660292,14
29,131224,2664284,14
30,120734,2661484,14
31,141270,2662976,14
32,137379,2661092,14
33,147426,2664056,14
34,135315,2662440,14
35,126780,2660372,14
36,149379,2664744,14
37,143584,2661908,14
38,131433,2662484,13
39,134255,2660668,14
40,153406,2662200,14
41,142567,2664200,14
42,137534,2662368,14
43,151357,2662768,14
44,137842,2660604,14
45,136898,2662092,14
46,148354,2664184,14
47,167278,2667488,15
48,118065,2657520,13
49,161458,2662172,14
50,128394,2662784,14
51,144035,2662336,14
52,146566,2662156,14
53,162271,2662624,14
54,149101,2662340,14
55,149439,2662368,14
56,132883,2662816,14
57,154422,2661928,14
58,150038,2660612,14
59,175867,2671636,14
60,139047,2655140,14
61,155712,2673552,15
62,149497,2653788,13
63,150849,2662100,14
64,155934,2660944,14
65,162370,2664124,14
66,158383,2662320,14
67,169406,2663256,14
68,155112,2661740,14
69,137061,2662212,14
70,165693,2662244,14
71,167040,2663008,14
72,164906,2661684,14
73,178891,2662896,14
74,177506,2660040,14
75,146123,2662592,14
76,155569,2663940,14
77,144538,2662712,14
78,160355,2660972,14
79,141538,2663776,14
80,163125,2666992,14
81,159119,2658048,14
82,168715,2674524,15
83,135792,2648328,13
84,150406,2666592,14
85,155221,2660564,14
86,149294,2660268,14
87,157236,2663648,14
88,144752,2661540,14
89,176687,2664140,14
90,143107,2659676,14
91,166261,2677236,15
92,145777,2648172,13
93,157854,2662832,14
94,165351,2661852,14
95,158524,2663100,14
96,164904,2667276,15
97,148908,2658744,13
98,154797,2660288,14
99,150811,2664320,14
100,155732,2660516,14
101,165359,2662364,14
102,166774,2669760,14
103,144341,2654764,14
104,181978,2666376,14
105,172743,2676456,15
106,150429,2644624,13
107,154563,2664312,14
108,162578,2677080,15
109,141657,2646112,13
110,166201,2661944,14
111,191092,2662644,14
112,164889,2663964,14
113,142146,2661456,14
114,166718,2661096,14
115,169940,2664488,14
116,152968,2660672,14
117,161889,2662316,14
118,167924,2663372,14
119,157606,2663424,14
120,174588,2661292,14
121,173200,2662108,14
122,146361,2661960,14
123,177180,2663060,14
124,144930,2669852,14
125,176656,2667240,15
126,159352,2649764,13
127,149377,2662300,14
128,154364,2662836,14
129,173966,2661780,14
130,153047,2664380,14
131,163365,2662520,14
132,171311,2660192,14
133,154468,2662876,14
134,170869,2662324,14
135,158647,2664528,14
136,154964,2660920,14
137,146854,2663252,14
138,145548,2662632,14
139,165097,2661108,14
140,145587,2663916,14
141,159860,2661032,14
142,161374,2663408,14
143,151231,2660568,14
144,154252,2662236,14
145,183290,2663020,14
146,166756,2661952,14
147,147472,2662636,14
148,161355,2663448,14
149,156686,2662876,14
150,166061,2660344,14
151,165559,2664600,14
152,166056,2660744,14
153,143019,2662036,14
154,153971,2663876,14
155,161704,2663032,14
156,168096,2662344,14
157,144415,2660344,14
158,160938,2665712,14
159,175953,2665152,14
160,161009,2659492,14
161,174459,2671472,15
162,141042,2650076,13
163,145022,2662736,14
164,179722,2664204,14
165,159088,2668152,14
166,146180,2654604,14
167,159790,2662916,14
168,151783,2663280,14
169,158588,2661064,14
170,190656,2662688,14
171,165283,2661992,14
172,175284,2663832,14
173,162907,2662908,14
174,153680,2660404,14
175,172756,2665248,14
176,163607,2659832,14
177,164955,2664516,14
178,156559,2660536,14
179,167768,2664352,14
180,142685,2660384,14
181,156899,2664204,14
182,170372,2660200,14
183,169341,2663252,14
184,156456,2661788,14
185,151441,2662972,14
186,142263,2663536,14
187,169266,2660244,14
188,167987,2662264,14
189,165048,2664508,14
190,149101,2660476,14
191,169060,2662624,14
192,167331,2662328,14
193,171071,2662940,14
194,151088,2662484,14
195,167321,2661620,14
196,167458,2663384,14
197,150130,2665200,14
198,196598,2658576,14
199,161090,2664264,14
200,166761,2661104,14
201,154034,2661820,14
202,150826,2663120,14
203,157812,2662120,14
204,172855,2664180,14
205,166393,2662888,14
206,157162,2660864,14
207,176208,2664532,14
208,156613,2663068,14
209,155585,2659960,14
210,163187,2665596,14
211,158708,2661080,14
212,163989,2661224,14
213,150526,2663020,14
214,146920,2661404,14
215,174240,2663468,14
216,156436,2662308,14
217,161777,2662940,14
218,180487,2663984,14
219,163888,2660084,14
220,163176,2677064,14
221,148040,2647956,14
222,167658,2662876,14
223,169893,2664480,14
224,181948,2660716,14
225,160836,2661628,14
226,150798,2666616,14
227,154622,2660088,14
228,154125,2667424,14
229,146032,2656080,14
230,152292,2661908,14
231,164204,2664596,14
232,153093,2662016,14
233,180744,2662516,14
234,166179,2662240,14
235,160835,2660744,14
236,156452,2661920,14
237,170770,2664384,14
238,127451,2662528,14
239,162781,2662368,14
240,152300,2662488,14
241,173484,2660740,14
242,152544,2663728,14
243,165045,2662388,14
244,177361,2672536,14
245,149572,2652500,14
246,165452,2686772,14
247,154247,2635888,14
248,163673,2662300,14
249,158556,2664692,14
250,167389,2662604,14
251,142850,2662208,14
252,166782,2660532,14
253,152784,2662016,14
254,165938,2662364,14
255,167735,2664668,14
256,164446,2662528,14
257,171318,2660384,14
258,147456,2662016,14
259,172164,2664984,14
260,155085,2660696,14
261,158919,2663764,14
262,166609,2660352,14
263,150375,2662444,14
264,149646,2667556,14
265,155819,2667504,14
266,154334,2654396,14
267,143880,2660476,14
268,174474,2664128,14
269,161139,2660472,14
270,164943,2664000,14
271,147737,2663416,14
272,168349,2659688,14
273,166293,2664368,14
274,166178,2660812,14
275,163485,2682732,14
276,158576,2643476,14
277,153755,2660740,14
278,150119,2664220,14
279,155873,2662392,14
280,194519,2811168,17
281,160689,2660280,14
282,168584,2660292,14
283,164418,2664508,14
284,170489,2660928,14
285,142163,2663352,14
286,137237,2661884,14
287,147241,2666004,14
288,162315,2657552,14
289,178441,2682116,15
290,149269,2642292,13
291,167453,2664708,14
292,145313,2666780,14
293,158338,2656564,14
294,170899,2664028,14
295,156704,2661168,14
296,179958,2661708,14
297,148017,2666928,14
298,157341,2663896,14
299,163414,2658204,14
300,145027,2664304,14
301,162565,2658868,14
302,155224,2664376,14
303,163309,2659956,14
304,146685,2665956,14
305,171723,2659388,14
306,162990,2664260,14
307,176996,2678132,15
308,151938,2644856,13
309,153597,2662040,13
310,173679,2662040,14
311,150248,2664444,14
312,166205,2662748,14
313,146185,2660456,14
314,154164,2662532,14
315,161456,2664588,14
316,153396,2660132,14
317,141558,2663812,14
318,140404,2660680,14
319,157144,2664520,14
320,157557,2660056,14
321,149184,2664568,14
322,169552,2662588,14
323,158863,2665676,14
324,161248,2658960,14
325,161235,2660176,14
326,171175,2662664,14
327,162900,2664176,13
328,156050,2664728,14
329,165760,2660468,14
330,151358,2671748,15
331,130127,2652824,13
332,81942,2721740,14
333,154564,2666992,14
334,184281,2659480,14
335,160902,2661412,13
336,170364,2663720,13
337,158329,2663016,14
338,161188,2661696,14
339,160990,2662716,14
340,147458,2666372,14
341,164821,2658192,14
342,148879,2660264,14
343,149262,2662992,14
344,130749,2661816,14
345,149727,2664444,14
346,144567,2662636,14
347,150508,2662092,14
348,162711,2660632,14
349,163591,2663744,14
350,174543,2662880,14
351,154381,2662700,14
352,156380,2662248,14
353,148743,2662264,14
354,135493,2662660,14
355,161172,2661752,14
356,156529,2662020,14
