,rx_bytes_sum,instructions_sum,cycles_sum,ref_cycles_sum,llc_miss_sum,num_interruptions,duration,active_cores
0,426,2165513,2313437,2152826,604,2,0.008566934333425633,1
1,3920,822678,3506033,3857152,6135,21,0.009989493099825207,13
2,1886,115354,646233,620334,947,10,0.0016023302077000717,7
3,3220,0,0,0,0,16,3.820518558799503e-05,16
4,907382,109887926,265185363,248166126,284034,164,0.009695292308721485,16
5,1237694,119866211,278891746,258965616,175538,177,0.009978642061600712,16
6,1192792,116469643,268247370,249083042,138417,166,0.009994360687710582,16
7,1199762,119890721,277322055,257509096,137875,169,0.00999943620670214,16
8,1291431,121302022,278888738,258963978,155222,169,0.009927713078521751,16
9,1137999,112922134,259606206,241059988,121964,167,0.00991217445247395,16
10,1213241,116762170,269340146,250096548,142983,173,0.009992194824894766,16
11,1223591,118113613,271949505,252520086,143413,170,0.009988892754790606,16
12,1223569,117034947,268611243,249420964,128092,161,0.009931571010886556,16
13,1255098,121815423,280749346,260692458,155213,171,0.009996700688517478,16
14,1260216,122861129,282579386,262390674,160989,170,0.009986938271358025,16
15,1278147,125606811,291232955,270425558,174806,173,0.009993754825432698,16
16,1296338,123378306,283411520,263163732,131801,174,0.009894837205116278,16
17,1252403,120957207,277977247,258117548,119055,170,0.009943948256533882,16
18,1320068,121732189,280358680,260329030,125935,165,0.009997301378379786,15
19,1252990,124032538,284711552,264372056,129909,174,0.009986418271178714,16
20,1309751,125402993,288321315,267722572,131604,177,0.009982472407749106,16
21,1346529,123837847,284531396,264203160,135776,173,0.009853858915123763,16
22,1254327,123578898,283753101,263480672,130795,174,0.00983442890842376,16
23,1304530,124179109,285919714,265492448,138933,173,0.009787014064487608,16
24,1244528,122201264,282309367,262140242,133723,176,0.009856938226530424,16
25,1349765,129022799,292109964,271240944,149956,174,0.009935617564006056,16
26,1326789,118565643,274465702,254858422,156280,171,0.009904979277579062,16
27,1300444,124757220,287659072,267107776,144420,174,0.009938095840722704,16
28,1303513,124012507,285592329,265189418,129356,171,0.009990913789970272,16
29,1248532,122726261,281876999,261740102,132088,172,0.009989058961744469,16
30,1312276,123961860,284069496,263774992,134181,173,0.009992159997296551,16
31,1254846,121836825,279959125,259957802,122857,173,0.009965906195140067,16
32,1300788,123951133,285046955,264683822,134929,168,0.009983052063121401,16
33,1259261,124251547,284481341,264156984,141604,171,0.009900727551975018,16
34,1299457,125686013,290338863,269595638,141269,169,0.009810601314000453,16
35,1260741,125282402,285462922,265067842,141238,170,0.009864318573902957,16
36,1290938,127628471,291773408,270928164,148709,172,0.009994585860202021,16
37,1281732,121452374,280461393,260424450,136874,167,0.009994969308610106,16
38,1299554,135367977,305383953,283565568,164449,175,0.009995051722431628,16
39,1288947,127316276,290530260,269774492,144597,168,0.009966486884995478,16
40,1300278,122931705,284301892,263989882,136378,166,0.009984407925657905,16
41,1240830,129380309,291454742,270632544,164860,172,0.009998737585771581,16
42,1278719,128873723,291936322,271078236,166827,171,0.009995577929509631,16
43,1233624,126895983,287435597,266899230,159255,174,0.009897704102656587,16
44,1319889,131577424,299988799,278555446,158540,172,0.009979577234336977,16
45,1268915,125846794,291672395,270834408,142372,168,0.009998592413307729,15
46,1279667,127160194,290142402,269413300,158359,171,0.00995760101986242,16
47,1293032,133171906,302211552,280620600,180624,176,0.009997485516374315,16
48,1281991,134111268,305960463,284100648,194199,175,0.00998126413147039,16
49,1302044,129480837,291776688,270931466,180722,163,0.009980338613909867,16
50,1243654,122832901,284133105,263834636,162983,166,0.00999711206796968,16
51,1285368,133042226,301707832,280152418,190683,173,0.009968905506519141,16
52,1270247,134093021,303817250,282110738,183279,175,0.00998345861498573,16
53,1316893,134513047,304197675,282463948,173271,177,0.009993456894295481,16
54,1300082,134352464,302270289,280675044,164197,171,0.009971727576457786,16
55,1290268,134446951,303390842,281715096,169817,175,0.009982315855970985,16
56,1232593,122067515,282014074,261866774,137938,166,0.009848898913413418,16
57,1232240,128588604,289275108,268608392,150191,166,0.009861496503964312,16
58,1338395,132663123,302979743,281333702,165201,174,0.009959522744663015,16
